Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2021-11-21 19:17:08,2,Robin,0,1,0,1,0.35502958,0.12027833
2021-11-21 19:18:53,3,Angel,0,0,0,0,0.51775146,0.693837
2021-11-21 19:20:59,3,Kaden,0,0,0,0,0.51775146,0.70178926
2021-11-21 19:25:27,3,Joseph,0,0,0,0,0.69822484,0.6978131
2021-11-21 19:29:13,3,Tommy,1,0,0,0,0.2366864,0.8787276
2021-11-21 19:31:43,3,Patrick,0,0,0,0,0.6360947,0.41153082
2021-11-21 19:33:41,3,Grant,0,0,0,0,0.7810651,0.723658
2021-11-21 19:47:41,7,Matthias,0,0,0,0,0.4704142,0.51689863
2021-11-21 19:53:14,8,Dale,1,0,0,0,0.43195266,0.9115308
2021-11-21 20:01:38,9,Justin,0,0,0,0,0.6213018,0.6332008
2021-11-21 20:04:47,10,Patrick,0,0,0,0,0.28402367,0.37077534
2021-11-21 20:08:06,12,Patrick,0,0,0,0,0.34911242,0.3777336
2021-11-21 20:09:34,12,Sean,0,0,0,0,0.74852073,0.32107356
