Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Milan,14,"1,2,3,5,7,9,12,14,15,16,17,19,20,21",9,5,6,3,34,13,34,26,8,1,3,0,2,2,0,0,0,0,465.94,209.72,14.56,6.55,315.17,43.41,12.12,1.67
Matthias,14,"1,2,3,5,7,9,11,12,14,15,16,17,19,21",10,4,6,3,19,10,17,18,1,2,1,2,0,0,0,2,0,0,235.96,34.66,14.75,2.17,264.59,177.14,14.70,9.84
Patrick,13,"3,6,8,9,10,12,13,15,16,17,18,20,21",3,10,2,4,13,5,11,12,1,0,0,2,0,0,0,0,0,0,136.35,63.09,12.40,5.74,165.87,51.28,13.82,4.27
Angel,13,"2,3,6,8,9,10,11,13,15,17,18,20,21",4,9,1,3,15,6,15,13,2,2,1,0,1,1,0,1,0,0,211.47,134.60,15.10,9.61,154.49,38.82,11.88,2.99
Will Stone,12,"1,2,3,5,7,9,11,12,14,17,19,21",10,2,6,2,9,6,9,9,0,1,1,0,2,2,0,1,0,0,108.50,70.85,15.50,10.12,136.99,69.76,15.22,7.75
Dale,11,"4,6,8,9,10,11,15,16,17,18,20",1,10,0,4,10,5,10,10,0,1,0,0,0,0,0,1,0,0,123.53,69.43,12.35,6.94,128.17,59.26,12.82,5.93
Sean,10,"1,2,3,5,7,11,12,14,19,21",10,0,6,0,20,10,19,13,7,1,1,1,2,1,1,0,0,0,329.68,142.15,18.32,7.90,166.06,24.06,12.77,1.85
Kevin,9,"1,2,3,5,7,12,14,19,21",9,0,6,0,13,8,12,13,0,1,1,1,3,2,1,0,0,0,137.25,62.87,13.73,6.29,258.04,151.11,19.85,11.62
Kaden,8,"4,6,8,10,13,15,16,18",0,8,0,2,11,3,11,9,2,1,0,0,1,1,0,0,0,0,145.47,33.79,14.55,3.38,109.70,29.52,12.19,3.28
Sam,7,"1,2,5,7,11,14,19",7,0,4,0,5,4,5,4,1,0,1,0,0,0,0,0,0,0,60.68,23.18,12.14,4.64,39.12,11.59,9.78,2.90
Joseph,7,"4,8,10,13,15,16,20",0,7,0,2,4,3,4,4,0,0,0,0,0,0,0,0,0,0,45.75,18.70,11.44,4.67,56.75,45.82,14.19,11.45
Grant,7,"4,6,8,9,10,16,17",0,7,0,4,12,4,10,10,2,0,0,2,1,1,0,1,0,0,109.67,36.08,12.19,4.01,164.40,46.25,16.44,4.63
Tommy,6,"4,8,10,13,18,20",0,6,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,11.44,-6.34,11.44,-6.34,22.12,20.67,22.12,20.67
Robin,5,"5,6,11,14,19",4,1,3,0,6,4,5,6,0,0,1,1,1,1,0,0,0,0,45.93,0.98,11.48,0.25,119.38,82.66,19.90,13.78
Justin,3,"1,7,12",3,0,2,0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,8.59,8.31,8.59,8.31,47.86,46.36,23.93,23.18
Alec,2,"4,6",0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.96,9.51,9.96,9.51,10.51,10.50,10.51,10.50
Hiro,2,"4,13",0,2,0,0,3,1,3,3,0,0,0,0,1,1,0,0,0,0,29.24,24.06,14.62,12.03,34.97,4.05,11.66,1.35
Waffe,1,18,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.76,9.73,9.76,9.73,10.64,10.28,10.64,10.28
Dylan,1,20,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.18,-5.69,7.18,-5.69,12.28,9.51,12.28,9.51
AK,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miko,1,18,0,1,0,0,2,1,2,2,0,0,0,0,1,1,0,0,0,0,7.79,7.65,7.79,7.65,23.02,15.31,11.51,7.65
