Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2021-11-23 14:29:12,1,1,1,0,0.8786982,0.8250497,Sam,3,,,,Will Stone,,
2021-11-23 14:31:04,2,1,1,0,0.8224852,0.95427436,Milan,4,,,,,Kevin,
2021-11-23 14:33:37,3,1,1,1,0.7692308,0.72067595,Angel,10,Kevin,Angel,Patrick,,,
2021-11-23 14:35:56,4,1,0,0,0.89349115,0.5616302,Kaden,4,,,,Grant,,
2021-11-23 14:37:18,4,2,0,0,0.26331362,0.72962224,Grant,13,,,,Hiro,,
2021-11-23 14:40:17,5,1,1,1,0.147929,0.75049704,Milan,7,Milan,Sean,Robin,,,
2021-11-23 14:43:06,7,1,1,1,0.57988167,0.85188866,Milan,15,Sean,Milan,Sean,,,
2021-11-23 14:46:46,8,1,0,0,0.6745562,0.78827035,Grant,13,,,,Angel,,
2021-11-23 14:49:11,8,2,0,1,0.03254438,0.70675945,Patrick,11,Angel,Kaden,Grant,,,
2021-11-23 14:51:18,9,1,0,1,0.3668639,0.49801192,Milan,10,Matthias,Angel,Grant,,,
2021-11-23 14:54:10,11,1,1,0,0.5,0.611332,Sean,10,,,,Will Stone,,
2021-11-23 14:56:40,11,2,1,0,0.6834319,0.777336,Sean,3,,,,Sean,,
2021-11-23 14:58:29,11,3,1,0,0.00887574,0.5387674,Sean,2,,,,Robin,Sean,
2021-11-23 15:50:43,12,1,1,0,0.23372781,0.7664016,Sean,2,,,,Milan,,
2021-11-23 15:51:54,12,2,1,1,0.70414203,0.860835,Matthias,6,Will Stone,Matthias,Justin,,,
2021-11-23 15:55:11,14,1,1,1,0.84023666,0.90656066,Sean,9,Robin,Will Stone,Kevin,,,
2021-11-23 16:01:02,16,1,0,1,0.73964494,0.5198807,Milan,10,Milan,Dale,Matthias,,,
2021-11-23 16:03:49,17,1,0,1,0.21597633,0.6451292,Milan,8,Milan,Matthias,Patrick,,,
2021-11-23 16:06:29,18,1,0,0,0.35207102,0.6272366,Kaden,7,,,,Kaden,,
2021-11-23 16:07:29,18,2,0,0,0.29881656,0.8021869,Angel,4,,,,Miko,,
2021-11-23 16:13:00,19,1,1,0,0.5088757,0.67296225,,1,,,,,,
2021-11-23 16:13:50,19,2,1,0,0.7721894,0.49304175,Sean,4,,,,Kevin,,
2021-11-23 16:15:15,19,3,1,1,0.9230769,0.7425447,Milan,7,Sam,Kevin,Matthias,,,
2021-11-23 16:18:04,20,1,0,0,0.0739645,0.7833002,Milan,7,,,,Milan,,
2021-11-23 16:22:14,21,1,1,0,0.5088757,0.55964214,Sean,3,,,,Kevin,,
