Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Milan,11,"1,2,3,6,7,8,10,12,14,17,20",7,4,7,3,34,9,34,26,8,4,1,0,3,3,0,3,0,0,464.75,244.06,14.99,7.87,294.93,15.09,11.34,0.58
Matthias,9,"2,3,6,8,10,12,14,17,20",7,2,7,1,16,7,13,16,0,0,1,3,1,0,1,1,0,0,140.63,16.29,11.72,1.36,224.20,105.52,14.01,6.59
Kevin,8,"3,6,8,10,12,14,17,20",7,1,7,1,10,6,8,10,0,1,0,2,0,0,0,1,0,0,112.25,38.38,14.03,4.80,250.79,228.09,25.08,22.81
Grant,7,"1,2,4,7,8,13,18",0,7,0,5,9,5,8,9,0,0,1,1,1,0,1,3,0,0,103.76,56.53,12.97,7.07,133.62,28.65,14.85,3.18
Will Stone,7,"3,6,10,12,14,17,20",7,0,7,0,11,4,11,10,1,1,1,0,2,2,0,1,0,0,111.69,33.13,12.41,3.68,128.18,63.64,12.82,6.36
Robin,7,"1,2,4,6,10,14,20",4,3,4,2,9,4,7,9,0,0,2,2,1,1,0,0,0,0,60.34,8.20,10.06,1.37,140.39,125.85,15.60,13.98
Angel,7,"1,2,3,4,7,8,18",1,6,1,5,6,5,6,5,1,0,1,0,2,1,1,1,0,0,51.07,11.59,12.77,2.90,61.70,8.97,12.34,1.79
Sam,7,"3,6,10,12,14,17,20",7,0,7,0,10,4,9,9,1,0,0,1,1,1,0,0,0,0,77.85,-8.20,9.73,-1.03,109.87,45.82,12.21,5.09
Sean,7,"3,6,10,12,14,17,20",7,0,7,0,40,7,40,31,9,3,3,0,1,0,1,0,0,0,561.29,317.43,14.39,8.14,332.68,22.74,10.73,0.73
Tommy,6,"4,7,13,15,16,18",0,6,0,4,7,4,6,6,1,1,0,1,0,0,0,1,0,0,65.79,-3.39,10.96,-0.56,114.86,82.12,19.14,13.69
Alec,5,"1,2,4,8,13",0,5,0,3,2,2,1,2,0,0,0,1,0,0,0,0,0,0,12.19,5.80,12.19,5.80,36.89,30.29,18.45,15.14
Joseph,5,"1,4,8,13,18",0,5,0,4,7,4,6,7,0,0,1,1,3,3,0,0,0,0,32.28,1.53,10.76,0.51,88.74,67.25,12.68,9.61
Jared,5,"1,5,9,15,16",0,5,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,14.89,-1.53,7.45,-0.77,27.38,24.17,13.69,12.08
Patrick,5,"4,7,9,13,18",0,5,0,3,19,5,19,12,7,1,0,0,3,3,0,2,0,0,246.63,114.70,15.41,7.17,122.70,32.48,10.22,2.71
Shrav,4,"5,9,15,16",0,4,0,1,10,3,10,5,5,0,1,0,1,1,0,1,0,0,105.25,58.06,11.69,6.45,68.86,19.03,13.77,3.81
Mateo,4,"5,7,15,16",0,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.80,5.80,5.80,5.80,9.59,9.40,9.59,9.40
Dale,4,"2,5,13,18",0,4,0,1,3,2,3,3,0,1,0,0,0,0,0,0,0,0,49.29,31.82,16.43,10.61,39.48,29.09,13.16,9.70
Hiro,4,"5,9,15,16",0,4,0,1,13,3,12,10,3,0,0,1,2,2,0,2,0,0,113.68,61.56,12.63,6.84,106.79,27.12,10.68,2.71
Kaden,3,"7,13,18",0,3,0,2,11,3,11,7,4,0,0,0,2,2,0,0,0,0,117.78,63.09,13.09,7.01,88.09,12.36,12.58,1.77
Waffe,3,"5,15,16",0,3,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,14.18,13.34,14.18,13.34
AK,3,"9,15,16",0,3,0,1,5,3,5,5,0,1,0,0,1,1,0,0,0,0,37.76,19.68,9.44,4.92,61.52,34.22,12.30,6.84
Justin,3,"5,12,17",2,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,15.06,8.09,15.06,8.09,13.00,9.40,13.00,9.40
Miko,1,9,0,1,0,0,2,1,2,2,0,0,0,0,3,0,3,0,0,0,13.38,3.50,13.38,3.50,20.86,3.72,10.43,1.86
Sham,1,9,0,1,0,0,4,1,4,4,0,0,0,0,2,1,1,0,0,0,34.12,-5.58,11.37,-1.86,58.25,42.21,14.56,10.55
