Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2021-11-21 20:54:05,1,0,0,0,1,1,5,0,0,0,1,0,Angel,Milan,Joseph
2021-11-21 20:58:23,2,1,0,0,0,1,1,1,1,0,0,1,,,
2021-11-21 21:00:08,3,1,1,1,1,3,14,2,2,0,2,0,,Sean,Kevin
2021-11-21 21:04:13,4,2,1,0,1,1,6,0,0,0,0,1,Grant,Tommy,Robin
2021-11-21 21:05:44,5,3,1,0,0,0,0,0,0,0,0,0,,,
2021-11-21 21:07:07,6,3,2,1,1,1,39,0,0,0,0,0,Will Stone,Sean,Robin
2021-11-21 21:11:25,7,4,2,0,1,2,12,1,1,0,1,1,Milan,Patrick,Tommy
2021-11-21 21:16:02,8,5,2,0,1,2,9,1,1,0,2,0,Matthias,Milan,Alec
2021-11-21 21:20:00,9,6,2,0,0,8,41,8,6,4,3,5,,,
2021-11-21 21:32:14,10,6,3,1,1,1,2,0,0,0,0,0,Sean,Will Stone,Matthias
2021-11-21 21:32:59,11,7,3,0,0,0,0,0,0,0,0,0,,,
2021-11-21 21:33:37,12,7,4,1,1,1,2,0,0,0,0,0,Sean,Kevin,Matthias
2021-11-21 21:34:39,13,8,4,0,0,2,14,2,2,0,0,2,,,
2021-11-21 21:38:33,14,8,5,1,1,3,9,2,2,0,0,2,Robin,Sean,Matthias
2021-11-21 21:42:12,15,9,5,0,1,1,2,0,0,0,1,0,Shrav,AK,Hiro
2021-11-21 21:43:21,16,10,5,0,0,2,5,2,2,0,1,1,,,
2021-11-21 21:46:01,17,10,6,1,1,1,10,0,0,0,0,0,Sean,Milan,Sam
2021-11-21 21:47:33,18,11,6,0,1,5,12,4,3,2,3,2,Joseph,Dale,Grant
2021-11-21 21:53:56,19,12,6,0,0,0,0,0,0,0,0,0,,,
2021-11-21 21:54:20,20,12,7,1,1,6,38,5,3,3,2,3,Robin,Milan,Kevin
2021-11-21 22:05:40,21,13,7,0,0,0,0,0,0,0,0,0,,,
