Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2021-11-21 20:57:58,1,1,0,1,0.51775146,0.4075547,Milan,5,Angel,Milan,Joseph,,,
2021-11-21 20:59:33,2,1,0,0,1.0,0.4244533,Milan,1,,,,Milan,,
2021-11-21 21:00:31,3,1,1,0,0.49112427,0.6252485,Sean,9,,,,Milan,,
2021-11-21 21:02:45,3,2,1,0,0.9408284,0.77435386,Sean,4,,,,Will Stone,,
2021-11-21 21:04:06,3,3,1,1,0.8106509,0.38667992,Sean,1,,Sean,Kevin,,,
2021-11-21 21:05:16,4,1,0,1,0.9704142,0.52286285,Patrick,6,Grant,Tommy,Robin,,,
2021-11-21 21:07:21,6,1,1,1,0.75443786,0.72167,Milan,39,Will Stone,Sean,Robin,,,
2021-11-21 21:13:23,7,1,0,0,0.18343195,0.6083499,Kaden,1,,,,Kaden,,
2021-11-21 21:14:03,7,2,0,1,0.43195266,0.776342,Kaden,11,Milan,Patrick,Tommy,,,
2021-11-21 21:17:21,8,1,0,0,0.49112427,0.6411531,Milan,3,,,,Joseph,,
2021-11-21 21:19:26,8,2,0,1,0.42011833,0.44930416,Milan,6,Matthias,Milan,Alec,,,
2021-11-21 21:20:50,9,1,0,0,0.88461536,0.6252485,Patrick,11,,,,Shrav,,
2021-11-21 21:22:42,9,2,0,0,0.5769231,0.7166998,Shrav,2,,,,Sham,,
2021-11-21 21:24:00,9,3,0,0,0.7278106,0.7127237,Patrick,11,,,,Patrick,,
2021-11-21 21:26:03,9,4,0,0,0.21597633,0.45427436,Shrav,4,,,,Patrick,Miko,
2021-11-21 21:27:06,9,5,0,0,0.12721893,0.77435386,Shrav,5,,,,,Miko,
2021-11-21 21:28:07,9,6,0,0,0.52071005,0.7862823,Hiro,6,,,,,Sham,
2021-11-21 21:31:02,9,7,0,0,0.32544377,0.7872763,Hiro,1,,,,Hiro,Miko,
2021-11-21 21:31:44,9,8,0,0,0.20414202,0.7833002,Hiro,1,,,,Hiro,,
2021-11-21 21:32:28,10,1,1,1,0.40532544,0.6739563,Sean,2,Sean,Will Stone,Matthias,,,
2021-11-21 21:33:58,12,1,1,1,0.62426037,0.5188867,Sean,2,Sean,Kevin,Matthias,,,
2021-11-21 21:35:27,13,1,0,0,0.8076923,0.68787277,Patrick,6,,,,Kaden,,
2021-11-21 21:36:45,13,2,0,0,0.7218935,0.7852883,Patrick,8,,,,Joseph,,
2021-11-21 21:38:52,14,1,1,0,0.7248521,0.6192843,Sean,3,,,,Robin,,
2021-11-21 21:40:58,14,2,1,0,0.73964494,0.60934395,Milan,1,,,,Milan,,
2021-11-21 21:41:40,14,3,1,1,0.92011833,0.5198807,Sean,5,Robin,Sean,Matthias,,,
2021-11-21 21:43:04,15,1,0,1,0.7810651,0.32703778,Shrav,2,Shrav,AK,Hiro,,,
2021-11-21 21:44:30,16,1,0,0,0.9556213,0.5715706,Shrav,2,,,,Waffe,,
2021-11-21 21:45:18,16,2,0,0,0.35207102,0.6421471,Tommy,3,,,,AK,,
2021-11-21 21:46:27,17,1,1,1,0.70414203,0.86282307,Sam,10,Sean,Milan,Sam,,,
2021-11-21 21:49:04,18,1,0,0,0.69822484,0.53180915,Patrick,1,,,,Patrick,Angel,
2021-11-21 21:49:57,18,2,0,0,0.06508876,0.6401591,Kaden,3,,,,,Grant,
2021-11-21 21:51:16,18,3,0,0,0.7662722,0.43836978,Kaden,4,,,,Joseph,,
2021-11-21 21:52:20,18,4,0,0,0.5976331,0.29920477,Angel,1,,,,Angel,,
2021-11-21 21:53:28,18,5,0,1,0.75739646,0.6829026,Patrick,3,Joseph,Dale,Grant,,,
2021-11-21 21:54:38,20,1,1,0,0.4822485,0.639165,,1,,,,,,
2021-11-21 21:55:00,20,2,1,0,0.8106509,0.67693835,Will Stone,7,,,,Sam,,
2021-11-21 21:59:24,20,3,1,0,0.9704142,0.7614314,Sean,4,,,,Will Stone,,
2021-11-21 22:01:07,20,4,1,0,0.295858,0.7803181,Sean,12,,,,,Matthias,
2021-11-21 22:03:23,20,5,1,0,0.4822485,0.55467194,Milan,10,,,,,Sean,
2021-11-21 22:05:03,20,6,1,1,0.43786982,0.78429425,Milan,4,Robin,Milan,Kevin,,,
