Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2021-11-23 13:21:44,1,0,0,0,1,1,3,0,0,0,0,1,Angel,Grant,Dale
2021-11-23 13:23:38,2,1,0,0,0,0,0,0,0,0,0,0,,,
2021-11-23 13:24:30,3,1,1,1,1,3,13,2,2,0,2,0,Matthias,Will Stone,Robin
2021-11-23 13:27:42,4,2,1,0,0,0,0,0,0,0,0,0,,,
2021-11-23 13:28:49,5,2,2,1,1,1,6,0,0,0,0,0,Matthias,Kevin,Milan
2021-11-23 13:29:52,6,3,2,0,0,3,21,3,3,0,2,1,,,
2021-11-23 13:35:12,7,3,3,1,1,2,6,1,0,1,1,0,Milan,Sam,Will Stone
2021-11-23 13:36:49,8,4,3,0,0,1,2,1,1,0,1,0,,,
2021-11-23 13:38:39,9,4,4,1,1,2,14,1,1,0,1,0,Sean,Will Stone,Sam
2021-11-23 13:41:45,10,5,4,0,0,0,0,0,0,0,0,0,,,
2021-11-23 13:44:21,11,5,5,1,1,1,1,0,0,0,0,0,,Sean,Will Stone
2021-11-23 13:44:58,12,6,5,0,1,1,16,0,0,0,1,0,Milan,Matthias,Milan
2021-11-23 13:47:10,13,7,5,1,1,1,11,0,0,0,0,0,Milan,Matthias,Will Stone
2021-11-23 13:48:59,14,8,5,0,1,2,16,1,1,0,0,2,,Joseph,Grant
2021-11-23 13:51:41,15,9,5,0,0,0,0,0,0,0,0,0,,,
2021-11-23 13:52:27,16,9,6,1,1,1,3,0,0,0,0,0,Sean,Matthias,Will Stone
2021-11-23 13:53:31,17,10,6,0,0,0,0,0,0,0,0,0,,,
2021-11-23 13:54:22,18,10,7,1,1,1,5,0,0,0,0,0,Sean,Angel,Will Stone
2021-11-23 13:56:28,19,11,7,0,1,4,27,3,3,0,4,0,Kaden,Grant,Alec
2021-11-23 14:22:01,20,12,7,0,1,2,5,1,1,0,0,2,Miko,AK,Jared
2021-11-23 14:24:43,21,13,7,0,0,0,0,0,0,0,0,0,,,
