Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2021-11-23 13:23:29,1,1,0,1,0.02366864,0.39860836,Dylan,3,Angel,Grant,Dale,,,
2021-11-23 13:24:43,3,1,1,0,0.6331361,0.7166998,Sean,4,,,,Robin,,
2021-11-23 13:25:33,3,2,1,0,0.75739646,0.6759443,Matthias,6,,,,Sean,,
2021-11-23 13:27:17,3,3,1,1,0.65976334,0.5735586,Milan,3,Matthias,Will Stone,Robin,,,
2021-11-23 13:29:06,5,1,1,1,0.5325444,0.6739563,Sean,6,Matthias,Kevin,Milan,,,
2021-11-23 13:30:55,6,1,0,0,0.6301775,0.41053677,Kaden,3,,,,Angel,,
2021-11-23 13:32:09,6,2,0,0,0.83136094,0.49900597,Grant,9,,,,Shrav,,
2021-11-23 13:33:42,6,3,0,0,0.7928994,0.77833,Angel,9,,,,Kaden,,
2021-11-23 13:35:29,7,1,1,0,0.2781065,0.5695825,Milan,1,,,,,Matthias,
2021-11-23 13:36:06,7,2,1,1,0.26331362,0.70974153,Sean,5,Milan,Sam,Will Stone,,,
2021-11-23 13:38:04,8,1,0,0,0.15384616,0.79821074,Patrick,2,,,,Dale,,
2021-11-23 13:38:51,9,1,1,0,0.2751479,0.4801193,Milan,9,,,,Milan,,
2021-11-23 13:40:58,9,2,1,1,0.7721894,0.5188867,Milan,5,Sean,Will Stone,Sam,,,
2021-11-23 13:44:37,11,1,1,1,0.31360948,0.5477137,Sean,1,,Sean,Will Stone,,,
2021-11-23 13:45:52,12,1,0,1,0.32840237,0.78827035,Milan,16,Milan,Matthias,Milan,,,
2021-11-23 13:47:33,13,1,1,1,0.37573963,0.8439364,Sam,11,Milan,Matthias,Will Stone,,,
2021-11-23 13:49:37,14,1,0,0,0.01775148,0.48210734,Kaden,15,,,,Grant,,
2021-11-23 13:51:34,14,2,0,1,0.3372781,0.25745526,Joseph,1,,Joseph,Grant,,,
2021-11-23 13:52:48,16,1,1,1,0.3106509,0.66202784,Milan,3,Sean,Matthias,Will Stone,,,
2021-11-23 13:54:58,18,1,1,1,0.5414201,0.57654077,Sean,5,Sean,Angel,Will Stone,,,
2021-11-23 14:15:40,19,1,0,0,0.6035503,0.4333996,Alec,6,,,,Tommy,,
2021-11-23 14:17:42,19,2,0,0,0.75739646,0.65705764,Kaden,2,,,,Joseph,,
2021-11-23 14:18:30,19,3,0,0,0.06804734,0.53479123,Kaden,17,,,,Tommy,,
2021-11-23 14:21:35,19,4,0,1,0.5118343,0.32107356,Kaden,2,Kaden,Grant,Alec,,,
2021-11-23 14:23:11,20,1,0,0,0.020710059,0.32107356,Shrav,3,,,,Shrav,,
2021-11-23 14:24:15,20,2,0,1,0.60946745,0.31908548,Miko,2,Miko,AK,Jared,,,
