Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Milan,10,"2,4,6,7,8,10,12,13,15,18",8,2,8,2,27,10,27,18,9,3,1,0,1,0,1,1,0,0,369.62,160.52,14.22,6.17,203.24,14.32,11.29,0.80
Matthias,9,"2,4,6,8,10,12,13,15,18",8,1,8,1,17,9,15,17,0,1,3,2,1,1,0,0,0,0,153.78,18.26,10.98,1.30,256.39,158.99,15.08,9.35
Kevin,9,"2,4,6,8,10,12,13,15,18",8,1,8,1,6,5,4,6,0,2,1,3,0,0,0,1,0,0,66.83,55.55,16.71,13.89,165.30,149.36,27.55,24.89
Angel,9,"1,3,5,8,11,12,16,18,19",2,7,2,3,5,3,5,5,0,2,0,0,1,0,1,0,0,0,60.71,45.82,12.14,9.16,58.14,5.69,11.63,1.14
Sean,8,"2,4,6,10,12,13,15,18",8,0,8,0,21,7,21,16,5,1,0,0,2,2,0,0,0,0,326.01,167.41,17.16,8.81,172.43,43.30,10.78,2.71
Will Stone,8,"2,4,6,10,12,13,15,18",8,0,8,0,11,6,10,11,0,0,2,1,3,2,1,0,0,0,94.38,17.39,11.80,2.17,151.78,56.20,13.80,5.11
Sam,8,"2,4,6,10,12,13,15,18",8,0,8,0,11,6,9,10,1,0,0,2,0,0,0,1,0,0,94.08,17.82,11.76,2.23,134.60,18.48,13.46,1.85
Dale,7,"1,5,7,8,11,16,19",0,7,0,4,4,3,3,3,1,0,0,1,1,0,1,1,0,0,36.89,-14.43,12.30,-4.81,42.72,31.82,14.24,10.61
Joseph,6,"1,5,7,11,16,19",0,6,0,3,3,2,2,3,0,0,1,1,0,0,0,0,0,0,22.85,11.70,11.43,5.85,41.04,39.47,13.68,13.16
Grant,6,"1,7,8,11,16,19",0,6,0,4,4,2,4,4,0,0,1,0,1,0,1,0,0,0,41.24,4.16,10.31,1.04,55.12,10.93,13.78,2.73
Robin,6,"2,6,7,10,15,16",4,2,4,2,5,3,4,5,0,0,1,1,0,0,0,0,0,0,52.15,31.60,13.04,7.90,61.86,37.40,12.37,7.48
AK,6,"3,5,9,14,17,20",0,6,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,13.98,13.12,13.98,13.12
Tommy,6,"3,7,11,14,17,19",0,6,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,17.80,17.39,17.80,17.39,14.52,3.39,14.52,3.39
Hiro,5,"3,5,9,17,20",0,5,0,1,2,1,2,0,2,0,0,0,1,1,0,0,0,0,12.13,-2.19,12.13,-2.19,0.00,0.00,0.00,0.00
Kaden,5,"3,8,11,16,19",0,5,0,3,8,3,7,5,3,1,0,1,2,2,0,0,0,0,59.79,52.49,11.96,10.50,67.66,0.00,13.53,0.00
Jared,5,"1,9,14,17,20",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Patrick,5,"1,3,5,11,19",0,5,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,29.98,-5.69,14.99,-2.84,7.99,7.54,7.99,7.54
Shrav,4,"9,14,17,20",0,4,0,1,4,2,4,2,2,1,0,0,0,0,0,0,0,0,51.38,45.60,12.85,11.40,25.87,8.53,12.94,4.26
Alec,4,"1,3,7,16",0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miko,3,"5,14,20",0,3,0,1,2,1,2,2,0,0,1,0,0,0,0,0,0,0,22.21,18.26,11.10,9.13,22.94,4.16,11.47,2.08
Waffe,3,"9,14,17",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Justin,3,"4,9,13",2,1,2,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,28.71,15.75,14.35,7.87,22.06,18.81,11.03,9.40
Gram,2,"14,20",0,2,0,1,2,2,2,2,0,0,0,0,2,2,0,0,0,0,0.00,0.00,0.00,0.00,23.39,21.65,11.70,10.83
Mateo,2,"9,17",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sham,1,20,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,15.11,0.00,15.11,0.00,14.64,14.21,14.64,14.21
