Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2021-11-23 12:16:28,2,1,1,0,0.23372781,0.694831,Milan,3,,,,Matthias,,
2021-11-23 12:17:53,2,2,1,0,0.3402367,0.6759443,Sean,2,,,,Will Stone,,
2021-11-23 12:19:49,2,3,1,1,0.21301775,0.6829026,Milan,6,Robin,Milan,Kevin,,,
2021-11-23 12:22:02,4,1,1,0,0.3224852,0.6759443,Milan,7,,,,Will Stone,Milan,
2021-11-23 12:25:39,4,2,1,1,0.65680474,0.5328032,Milan,7,Will Stone,Milan,Sam,,,
2021-11-23 12:28:01,6,1,1,1,0.13609467,0.6163022,Milan,4,Will Stone,Kevin,Matthias,,,
2021-11-23 12:30:11,7,1,0,0,0.7810651,0.5695825,Dale,11,,,,,Dale,
2021-11-23 12:31:51,7,2,0,1,0.60650885,0.21769384,Milan,1,,Milan,Robin,,,
2021-11-23 12:33:06,8,1,0,1,0.31360948,0.2664016,Milan,5,Matthias,Angel,Kaden,,,
2021-11-23 12:35:13,10,1,1,1,0.2662722,0.5626243,Sean,7,Matthias,Sean,Kevin,,,
2021-11-23 12:37:52,12,1,1,0,0.3224852,0.57057655,Sean,3,,,,,Angel,
2021-11-23 12:38:52,12,2,1,1,0.8786982,0.5337972,Milan,11,Matthias,Angel,Will Stone,,,
2021-11-23 12:42:58,13,1,1,1,0.47633135,0.666004,Sean,10,Kevin,Matthias,Sam,,,
2021-11-23 12:44:41,14,1,0,0,0.088757396,0.49900597,Shrav,2,,,,Gram,,
2021-11-23 12:46:29,15,1,1,1,0.49704143,0.5805169,Sean,8,Milan,Kevin,Matthias,,,
2021-11-23 12:49:34,16,1,0,1,0.76035506,0.6332008,Kaden,8,Grant,Kaden,Joseph,,,
2021-11-23 12:53:17,18,1,1,0,0.8076923,0.82703775,Sam,12,,,,Sean,Will Stone,
2021-11-23 12:55:53,18,2,1,0,0.8639053,0.3856859,Milan,3,,,,Sean,,
2021-11-23 12:58:23,19,1,0,0,0.43195266,0.22664016,Kaden,1,,,,Kaden,Grant,
2021-11-23 12:59:13,19,2,0,0,0.082840234,0.32306165,Kaden,3,,,,Kaden,,
2021-11-23 13:00:09,19,3,0,1,1.0,0.42345923,Patrick,4,Joseph,Tommy,Dale,,,
2021-11-23 13:02:10,20,1,0,0,0.1923077,0.79324055,Hiro,1,,,,Hiro,,
2021-11-23 13:03:19,20,2,0,0,0.89349115,0.63717693,Shrav,5,,,,Gram,,
2021-11-23 13:04:33,20,3,0,1,0.6863905,0.32107356,Hiro,3,Miko,Shrav,AK,,,
